raw_row_number,disposition,review_reason,raw_tempid,raw_title,raw_we_have,raw_original_source,raw_product_link
251,duplicate,"Duplicate of promoted master 310 (Mind, Heart and Service Part 2); raw streaming PART2 row and promoted product row share Veritas product 54219. Owner ruling 2026-08-08: collapse to one DVD master (310) with streaming availability in reference_url_1; raw row excluded from master; UUID 227 retired.",,"Mind, Heart, and Service PART2.mp4",✅,veritas,
257,blank_separator,Empty visual separator row.,,,,,
258,series_context,Collection/category heading.,,Office series https://veritaspub.com/archival-office-visit-series/,,,
259,blank_separator,Empty visual separator row.,,,,,
273,research_note,Owner approved exclusion on 2026-08-03: literal Office Series B-02/B-05 non-item placeholder; no corresponding official product exists.,OFF14,where is B-02? might not exist.,❌,veritas,
276,research_note,Owner approved exclusion on 2026-08-03: literal Office Series B-02/B-05 non-item placeholder; no corresponding official product exists.,OFF17,where is B-05? might not exist.,❌,veritas,
278,blank_separator,Empty visual separator row.,,,,,
279,series_context,Collection/category heading.,,Missing satsang audios https://veritaspub.com/satsang-series-and-question-answer-sessions/,,,
293,blank_separator,Empty visual separator row.,,,,,
294,series_context,Collection/category heading.,,Media Miscellaneous: https://veritaspub.com/media-miscellaneous-2/,,,
295,research_note,Editorial gap/research note; item identity needs confirmation.,, ❌❌ MOST ARE MISSING ❌❌ NOT YET IN THE SPREADSHEET ❌❌,,,
296,duplicate,"Duplicate of master 329 (""In the World But Not of It"" – Audio, the Nightingale-Conant 6-CD audio edition; Veritas product 1661 matched_by_primary_source to 329). Legacy archive row (raw ""26. In the World But Not of It –"", owned, source veritas) is the same audio edition. Owner ruling 2026-08-07: exclude from the master; provenance kept here.",,"26. ""In the World But Not of It"" – ",✅,veritas,
298,blank_separator,Empty visual separator row.,,,,,
299,research_note,Editorial gap/research note; item identity needs confirmation.,,Missing OTR,,,
312,blank_separator,Empty visual separator row.,,,,,
313,series_context,Collection/category heading.,,Discussion Series with Dr. David Hawkins & Wife Susan https://veritaspub.com/discussion-series-2/,,,
314,blank_separator,Empty visual separator row.,,,,,
318,duplicate,Duplicate of promoted master 312 — same 2012 Discussion Series talk; Veritas product 50485 'Permanent Inner Peace (2012)' matched_by_primary_source to 312. Owner ruling 2026-08-07: exclude legacy archive row (raw file 'Permanent Inner Peace.mp4') from the master; provenance kept here.,,Permanent Inner Peace.mp4,✅,veritas,
321,duplicate,Duplicate of promoted master 313 — same 2012 Discussion Series talk; Veritas product 50488 'What is Real Success? (2012)' matched_by_primary_source to 313. Owner ruling 2026-08-07: exclude legacy archive row (raw file 'What is Real Success.mp4') from the master; provenance kept here.,,What is Real Success.mp4,✅,veritas,
323,blank_separator,Empty visual separator row.,,,,,
324,series_context,Collection/category heading.,,Books https://veritaspub.com/books-2/,,,
336,series_context,Collection/category heading.,,Books of Slides,✅,veritas,
338,blank_separator,Empty visual separator row.,,,,,
343,duplicate,"Duplicate of raw row 347 — same work, full title variant kept as master 303; truncated title variant previously created duplicate work_id.",,The Path to Spiritual Advancement,✅,veritas,
344,blank_separator,Empty visual separator row.,,,,,
345,series_context,Collection/category heading.,,TRANSCRIPTION SERIES BOOKS https://veritaspub.com/the-six-book-transcription-series-transcribed-from-the-lectures-presented-in-2002-the-core-lectures-of-dr-hawkins-work/,,,
346,blank_separator,Empty visual separator row.,,,,,
353,blank_separator,Empty visual separator row.,,,,,
354,series_context,Collection/category heading.,,Scott Jeffrey edited books,,,
355,blank_separator,Empty visual separator row.,,,,,
356,blank_separator,Empty visual separator row.,,,,,
357,blank_separator,Empty visual separator row.,,,,,
358,research_note,Editorial gap/research note; item identity needs confirmation.,,Missing books? ❌❌ ,,,
359,blank_separator,Empty visual separator row.,,,,,
360,series_context,Collection/category heading.,,Lecture Highlights https://veritaspub.com/highlights/,❌,veritas,
361,blank_separator,Empty visual separator row.,,,,,
362,source_context,Landing page or source URL stored in title.,,https://veritaspub.com/map-of-consciousness/,❌,veritas,
363,blank_separator,Empty visual separator row.,,,,,
364,blank_separator,Empty visual separator row.,,,,,
365,research_note,Editorial gap/research note; item identity needs confirmation.,,"more stuff missing, non-veritas stuff. check: https://github.com/56eli/bookbot/blob/temp/hawkins.md",,,
366,blank_separator,Empty visual separator row.,,,,,
367,blank_separator,Empty visual separator row.,,,,,
368,research_note,Editorial gap/research note; item identity needs confirmation.,,DISSERTATION ❌❌❌,,,
369,source_context,Landing page or source URL stored in title.,,https://www.goodreads.com/book/show/6645749-qualitative-and-quantitative-analysis-and-calibration-of-the-level-of-hu,,,
370,blank_separator,Empty visual separator row.,,,,,
371,duplicate,Duplicate of promoted master 361 (Dialogues on Consciousness and Spirituality; promoted from candidate manual-academic-dialogues-1998). The raw row is the owner's own placeholder note ('WHAT IS THIS ⚠️') for the same work — it has no item ID or ownership status. Owner ruling 2026-08-09: reclassify from needs_review to duplicate; raw row excluded from the master; provenance kept here.,,Dialogues on Consciousness and Spirituality: WHAT IS THIS ⚠️⚠️⚠️,,,
372,source_context,Landing page or source URL stored in title.,,https://www.goodreads.com/book/show/23323.Dialogues_on_Consciousness_and_Spirituality,,,
373,source_context,Owner note relocated to notes column; not a catalogue item.,,,,,
374,blank_separator,Empty visual separator row.,,,,,
375,research_note,Editorial gap/research note; item identity needs confirmation.,,scorpion book,,,
376,research_note,Editorial gap/research note; item identity needs confirmation.,,orthomolecular book,✅,,
