raw_row_number,target_field,override_value,review_status,approval_date,review_reason,evidence_source
309,source_url_veritas,https://veritaspub.com/product/truth-shines-forth-3-cd-set/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 40035)
310,source_url_veritas,https://veritaspub.com/product/virtues-the-spiritual-foundation/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 36441)
311,source_url_veritas,https://veritaspub.com/product/you-are-light-consciousness/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 37223)
316,source_url_veritas,https://veritaspub.com/product/how-to-see-the-reality-of-life/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
317,source_url_veritas,https://veritaspub.com/product/improving-your-relationships-2012/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
319,source_url_veritas,https://veritaspub.com/product/the-importance-of-family-2014/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
320,source_url_veritas,https://veritaspub.com/product/what-is-meant-by-spiritual-2012/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
322,source_url_veritas,https://veritaspub.com/product/what-you-are-changes-the-world-2/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
325,source_url_audible,https://www.audible.com/pd/Power-vs-Force-Audiobook/B002V5GOH0,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
326,source_url_audible,https://www.audible.com/pd/The-Eye-of-the-I-Audiobook/1401962459,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
326,source_url_veritas,https://veritaspub.com/product/the-eye-of-the-i-book/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 50393)
327,source_url_veritas,https://veritaspub.com/product/i-reality-and-subjectivity-book/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 50382)
328,source_url_audible,https://www.audible.com/pd/Truths-vs-Falsehood-Audiobook/B00NWS4SQO,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
328,source_url_veritas,https://veritaspub.com/product/truth-vs-falsehood-how-to-tell-the-difference-book/,approved,2026-08-03,This master item is item_type=book in the Books series. Official product 50398 is the book edition (category dr-hawkins-published-books). Product 1728 is a CD & DVD set in media-miscellaneous and is a different edition.,https://veritaspub.com/wp-json/wp/v2/product (official product_cat taxonomy)
329,source_url_audible,https://www.audible.com/pd/Letting-Go-Audiobook/B00ZJFQN9I,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
329,source_url_veritas,https://veritaspub.com/product/letting-go-the-pathway-of-surrender-book/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
330,source_url_audible,https://www.audible.com/pd/Healing-and-Recovery-Audiobook/1401962440,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
330,source_url_veritas,https://veritaspub.com/product/healing-and-recovery-copy/,approved,2026-08-03,This master item is item_type=book titled 'Healing and Recovery'. Official product 50378 'Healing and Recovery (Book)' is the exact book (category dr-hawkins-published-books). Product 1695 is a differently titled audio program in media-miscellaneous.,https://veritaspub.com/wp-json/wp/v2/product (official product_cat taxonomy)
331,source_url_veritas,https://veritaspub.com/product/discovery-of-the-presence-of-god-devotional-nonduality-sc/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
332,source_url_veritas,https://veritaspub.com/product/reality-spirituality-and-modern-man-book/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 50388)
333,source_url_audible,https://www.audible.com/pd/Transcending-the-Levels-of-Consciousness-Audiobook/1401961878,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
333,source_url_veritas,https://veritaspub.com/product/transcending-the-levels-of-consciousness-book/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 50407)
334,source_url_veritas,https://veritaspub.com/product/the-map-of-consciousness-explained/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
335,source_url_veritas,https://veritaspub.com/product/success-is-for-you-using-heart-centered-power-principles-for-lasting-abundance-and-fulfillment/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
337,source_url_veritas,https://veritaspub.com/product/daily-reflections-from-dr-david-r-hawkins-365-contemplations-on-surrender-healing-and-consciousness/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
341,source_url_audible,https://www.audible.com/pd/In-the-World-but-Not-of-It-Audiobook/B00NMUQ8DS,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
341,source_url_veritas,https://veritaspub.com/product/in-the-world-but-not-of-it-transforming-everyday-experience-into-a-spiritual-path/,approved,2026-08-03,This master item is item_type=book. Official product 53062 is the book edition (category dr-hawkins-published-books) and was previously unused by any master record. Product 1661 is the Nightingale-Conant 6-CD audio set.,https://veritaspub.com/wp-json/wp/v2/product (official product_cat taxonomy)
342,source_url_audible,https://www.audible.com/pd/The-Highest-Level-of-Enlightenment-Audiobook/B00O3I950G,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/audible_official_products.csv
342,source_url_veritas,https://veritaspub.com/product/the-highest-level-of-enlightenment/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
347,source_url_veritas,https://veritaspub.com/product/the-path-to-spiritual-advancement-how-to-transcend-the-ego-and-experience-the-presence-of-god/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 54472)
348,source_url_veritas,https://veritaspub.com/product/the-evolution-of-consciousness-navigating-the-levels-of-awareness-and-unlocking-spiritual-potential-transcriptions-from-the-march-and-april-2002-lectures/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 54489)
349,source_url_veritas,https://veritaspub.com/product/beyond-illusion-exploring-perception-ego-and-meditation-on-the-path-to-truth/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
350,source_url_veritas,https://veritaspub.com/product/spiritual-power-and-integrity-uncovering-spiritual-reality-and-realizing-peace-love-and-divinity/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 55424)
351,source_url_veritas,https://veritaspub.com/product/karma-and-devotion-the-sacred-path-to-god-through-the-heart/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 55582)
352,source_url_veritas,https://veritaspub.com/product/the-final-doorway-to-enlightenment-prayer-transcendence-and-realization-of-the-self/,approved,2026-08-03,Approved book source relationship based on exact title and official product-page evidence.,data/veritas_official_products.csv (Veritas product 56141)
