work_id,member_master_uuid,canonical_work_title,evidence_note,review_status,reviewed_on
w-b-03-office-series-a-map-of-consciousnes,247,B-03 Office Series-A Map Of Consciousness,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-b-04-office-series-cancer,248,B-04 Office Series-Cancer,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-b-06-office-series-death-and-dying,250,B-06 Office Series-Death and Dying,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-become-that-which-you-are-june-2004,215,Become That Which You Are,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture. [2026-08-08 ruling: part rows merged into one work],approved,2026-08-03
w-become-that-which-you-are-june-2004,216,Become That Which You Are,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture. [2026-08-08 ruling: part rows merged into one work],approved,2026-08-03
w-become-that-which-you-are-june-2004,217,Become That Which You Are,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture. [2026-08-08 ruling: part rows merged into one work],approved,2026-08-03
w-belief-trust-and-credibility,160,"Belief, Trust and Credibility",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-belief-trust-and-credibility,161,"Belief, Trust and Credibility",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-belief-trust-and-credibility,162,"Belief, Trust and Credibility",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-beyond-illusion-exploring-perception-ego,305,"Beyond Illusion: Exploring Perception, Ego, and Meditation on the Path to Truth",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-book-of-slides-the-complete-collection,314,Book of Slides (The Complete Collection),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-causality-the-ego-s-foundation,1,Causality: The Ego's Foundation,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-causality-the-ego-s-foundation,2,Causality: The Ego's Foundation,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-causality-the-ego-s-foundation,3,Causality: The Ego's Foundation,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-conviction,85,Conviction,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-conviction,86,Conviction,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-conviction,87,Conviction,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-creation-vs-evolution,145,Creation vs Evolution,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-creation-vs-evolution,146,Creation vs Evolution,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-creation-vs-evolution,147,Creation vs Evolution,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-daily-reflections,297,Daily Reflections,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-devotion-the-way-to-god-through-the-hear,25,Devotion: The Way to God Through the Heart,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-devotion-the-way-to-god-through-the-hear,26,Devotion: The Way to God Through the Heart,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-devotion-the-way-to-god-through-the-hear,27,Devotion: The Way to God Through the Heart,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-devotion-to-truth-talk,311,Devotion to Truth Talk,Owner ruling 2026-08-08: raw owned streaming row 225 (raw 249) and promoted official product row 311 shared Veritas product 55473; collapsed to one DVD master (311) with streaming availability carried in reference_url_1 per the 278-285 precedent. UUID 225 retired.,approved,2026-08-08
w-dialogue-questions-and-answers,52,"Dialogue, Questions, and Answers",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-dialogue-questions-and-answers,53,"Dialogue, Questions, and Answers",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-dialogue-questions-and-answers,54,"Dialogue, Questions, and Answers",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-discovery-of-the-presence-of-god,292,Discovery of the Presence of God,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-dissolving-the-ego,299,Dissolving the Ego,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-experiential-reality,103,Experiential Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-experiential-reality,104,Experiential Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-experiential-reality,105,Experiential Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-experiential-reality-the-mystic,151,Experiential Reality: The Mystic,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-experiential-reality-the-mystic,152,Experiential Reality: The Mystic,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-experiential-reality-the-mystic,153,Experiential Reality: The Mystic,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-freedom-morality-and-ethics,169,Freedom: Morality and Ethics,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-freedom-morality-and-ethics,170,Freedom: Morality and Ethics,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-freedom-morality-and-ethics,171,Freedom: Morality and Ethics,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-is-hidden-within-the-beauty-of-the-m,268,God is Hidden Within the Beauty of the Music,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-is-the-infinite-field,269,God is The Infinite Field,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-religion-and-spirituality,100,"God, Religion, and Spirituality",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-religion-and-spirituality,101,"God, Religion, and Spirituality",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-religion-and-spirituality,102,"God, Religion, and Spirituality",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-transcendent-and-immanent,31,God: Transcendent and Immanent,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-transcendent-and-immanent,32,God: Transcendent and Immanent,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-god-transcendent-and-immanent,33,God: Transcendent and Immanent,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-golden-word-book-signing-audio,265,Golden Word Book Signing – Audio,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-handling-spiritual-challenges,187,Handling Spiritual Challenges,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-handling-spiritual-challenges,188,Handling Spiritual Challenges,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-handling-spiritual-challenges,189,Handling Spiritual Challenges,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-happiness,178,Happiness,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-happiness,179,Happiness,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-happiness,180,Happiness,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-how-to-live-your-life-like-a-prayer,278,How to Live Your Life Like a Prayer,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-how-to-see-the-reality-of-life,279,How to See the Reality of Life,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-i-reality-and-subjectivity,288,I Reality and Subjectivity,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-improving-your-relationships,280,Improving Your Relationships,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-integration-of-spirituality-and-personal,37,Integration of Spirituality and Personal Life,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-integration-of-spirituality-and-personal,38,Integration of Spirituality and Personal Life,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-integration-of-spirituality-and-personal,39,Integration of Spirituality and Personal Life,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-is-the-miraculous-real,124,Is the Miraculous Real?,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-is-the-miraculous-real,125,Is the Miraculous Real?,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-is-the-miraculous-real,126,Is the Miraculous Real?,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-karma-and-devotion-the-sacred-path-to-go,307,Karma and Devotion: The Sacred Path to God through the Heart,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-karma-and-the-afterlife,28,Karma and the Afterlife,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-karma-and-the-afterlife,29,Karma and the Afterlife,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-karma-and-the-afterlife,30,Karma and the Afterlife,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-life-with-doc-my-husband-my-teacher-dr-d,317,"Life with “Doc” My Husband & My Teacher, Dr. David R. Hawkins",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-love,196,Love,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-love,197,Love,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-love,198,Love,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-love-is-a-way-of-being-january-2004,218,Love is a Way of Being,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture. [2026-08-08 ruling: part rows merged into one work],approved,2026-08-03
w-love-is-a-way-of-being-january-2004,219,Love is a Way of Being,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture. [2026-08-08 ruling: part rows merged into one work],approved,2026-08-03
w-love-is-a-way-of-being-january-2004,220,Love is a Way of Being,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture. [2026-08-08 ruling: part rows merged into one work],approved,2026-08-03
w-mind-heart-and-service,310,"Mind, Heart and Service: The Pathway of Devotional Non-Duality",Owner ruling 2026-08-08: raw owned streaming part rows 226/227 (raw 250/251) and promoted official product row 310 shared Veritas product 54219; collapsed to one DVD master (310) with streaming availability carried in reference_url_1. UUIDs 226/227 retired.,approved,2026-08-08
w-most-valuable-qualities-for-a-spiritual,193,Most Valuable Qualities for a Spiritual Seeker,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-most-valuable-qualities-for-a-spiritual,194,Most Valuable Qualities for a Spiritual Seeker,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-most-valuable-qualities-for-a-spiritual,195,Most Valuable Qualities for a Spiritual Seeker,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-overcoming-doubt-skepticism-disbelief,163,"Overcoming Doubt, Skepticism & Disbelief",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-overcoming-doubt-skepticism-disbelief,164,"Overcoming Doubt, Skepticism & Disbelief",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-overcoming-doubt-skepticism-disbelief,165,"Overcoming Doubt, Skepticism & Disbelief",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-peace,181,Peace,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-peace,182,Peace,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-peace,183,Peace,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-perception-and-illusion-distortions-of-r,13,Perception and Illusion: Distortions of Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-perception-and-illusion-distortions-of-r,14,Perception and Illusion: Distortions of Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-perception-and-illusion-distortions-of-r,15,Perception and Illusion: Distortions of Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-perception-and-positionality,61,Perception and Positionality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-perception-and-positionality,62,Perception and Positionality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-perception-and-positionality,63,Perception and Positionality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-permanent-inner-peace-2012,312,Permanent Inner Peace (2012),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-positionality-and-duality-transcending-t,10,Positionality and Duality: Transcending the Opposites,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-positionality-and-duality-transcending-t,11,Positionality and Duality: Transcending the Opposites,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-positionality-and-duality-transcending-t,12,Positionality and Duality: Transcending the Opposites,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-practical-spirituality,166,Practical Spirituality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-practical-spirituality,167,Practical Spirituality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-practical-spirituality,168,Practical Spirituality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-progressive-levels-of-consciousness-a-sp,221,Progressive Levels of Consciousness - A Special Talk Presented in Oxford (2003),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-q-a-session-jan-2011,199,Q&A Session (Jan 2011),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-q-a-session-jul-2011,201,Q&A Session (Jul 2011),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-q-a-session-mar-2011,200,Q&A Session (Mar 2011),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-radical-subjectivity-the-i-of-self,4,Radical Subjectivity: The 'I' of Self,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-radical-subjectivity-the-i-of-self,5,Radical Subjectivity: The 'I' of Self,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-radical-subjectivity-the-i-of-self,6,Radical Subjectivity: The 'I' of Self,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-reality-spirituality-and-modern-man,293,"Reality, Spirituality and Modern Man",Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-realization-of-the-self-as-the-i,49,Realization of the Self as the 'I',Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-realization-of-the-self-as-the-i,50,Realization of the Self as the 'I',Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-realization-of-the-self-as-the-i,51,Realization of the Self as the 'I',Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-realization-of-the-self-the-final-moment,34,Realization of the Self: The Final Moments,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-realization-of-the-self-the-final-moment,35,Realization of the Self: The Final Moments,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-realization-of-the-self-the-final-moment,36,Realization of the Self: The Final Moments,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-reason-vs-truth,112,Reason vs Truth,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-reason-vs-truth,113,Reason vs Truth,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-reason-vs-truth,114,Reason vs Truth,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-relativism-vs-reality,130,Relativism vs Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-relativism-vs-reality,131,Relativism vs Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-relativism-vs-reality,132,Relativism vs Reality,Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-satsang-series-feb-2010,262,Satsang Series (Feb 2010),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-satsang-series-jan-2007,251,Satsang Series (Jan 2007),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-satsang-series-jan-2009,258,Satsang Series (Jan 2009),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
w-satsang-series-jul-2007,254,Satsang Series (Jul 2007),Per-title work under the D6a ruling (exact title group; no substring matching); part rows of one lecture.,approved,2026-08-03
