veritas_product_id,official_title,official_product_url,published_date,official_categories,normalized_title_match_count,matched_master_uuids,matched_master_titles,mapping_status,review_notes
54219,"Mind, Heart and Service: The Pathway of Devotional Non-Duality",https://veritaspub.com/product/mind-heart-and-service-the-pathway-of-devotional-non-duality/,2024-06-14,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
53942,The Letting Go Deck – Inspirations taken directly from Letting Go Book,https://veritaspub.com/product/the-letting-go-deck-inspirations-taken-directly-from-letting-go-book/,2023-12-26,,0,,,excluded_related_material,"Spin-off physical product, not an original teaching record."
53277,Progressive Levels of Consciousness,https://veritaspub.com/product/progressive-levels-of-consciousness/,2023-09-17,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
53062,In the World But Not Of It: Transforming Everyday Experience into a Spiritual Path,https://veritaspub.com/product/in-the-world-but-not-of-it-transforming-everyday-experience-into-a-spiritual-path/,2023-05-28,,1,300,"In the World, But Not of It",matched_by_title,
53058,The Wisdom of Dr. David R. Hawkins: Classic Teachings on Spiritual Truth and Enlightenment,https://veritaspub.com/product/the-wisdom-of-dr-david-r-hawkins-classic-teachings-on-spiritual-truth-and-enlightenment/,2023-03-23,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
52945,Spiritual Will Inspiring Q & A,https://veritaspub.com/product/spiritual-will-a-inspiring-q-a-session-with-dr-hawkins/,2023-02-11,,2,228; 229,Spiritual Will PART1.mp4 | Spiritual Will PART2.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
53036,"Life with “Doc” My Husband & My Teacher, Dr. David R. Hawkins",https://veritaspub.com/product/life-with-doc-my-husband-my-teacher-dr-david-r-hawkins/,2022-10-23,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
54226,"The Letting Go Guided Journal: How to Remove Your Inner Blocks to Happiness, Love, and Success",https://veritaspub.com/product/the-letting-go-guided-journal-how-to-remove-your-inner-blocks-to-happiness-love-and-success/,2022-09-29,,0,,,excluded_related_material,"Spin-off physical product, not an original teaching record."
53060,"Daily Reflections from Dr. David R. Hawkins: 365 Contemplations on Surrender, Healing, and Consciousness",https://veritaspub.com/product/daily-reflections-from-dr-david-r-hawkins-365-contemplations-on-surrender-healing-and-consciousness/,2022-08-30,,1,297,Daily Reflections,matched_by_primary_source,Exact master primary Veritas URL match.
48825,Transcending the Ego,https://veritaspub.com/product/transcending-the-ego/,2022-01-20,,1,274,Transcending the Ego,matched_by_primary_source,Exact master primary Veritas URL match.
43728,The Map of Consciousness Explained: A Proven Energy Scale to Actualize Your Ultimate Potential (Book),https://veritaspub.com/product/the-map-of-consciousness-explained/,2020-09-08,,1,295,The Map of Consciousness Explained,matched_by_primary_source,Exact master primary Veritas URL match.
43146,The Power of Love: A Transformed Heart Changes the World (Book),https://veritaspub.com/product/the-power-of-love-a-transformed-heart-changes-the-world-sc/,2020-06-02,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
38608,Book of Slides (The Complete Collection),https://veritaspub.com/product/book-of-slides-the-complete-collection/,2018-06-05,,0,,,unique_item,Unique compilation: Book of Slides
36833,“The Ultimate Truth” CD free with $75.00 order,https://veritaspub.com/product/the-ultimate-truth-free-with-75-order/,2017-07-19,,0,,,excluded_related_material,Promotional/bonus compilation.
1820,Success Is for You: Using Heart-Centered Power Principles for Lasting Abundance and Fulfillment (Book),https://veritaspub.com/product/success-is-for-you-using-heart-centered-power-principles-for-lasting-abundance-and-fulfillment/,2016-03-10,,1,296,Success Is for You,matched_by_primary_source,Exact master primary Veritas URL match.
47979,The Ego is Not the Real You (Book),https://veritaspub.com/product/the-ego-is-not-the-real-you/,2014-08-16,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
1792,Don’t Set Sail Without A Compass – Audio,https://veritaspub.com/product/dont-set-sail-without-a-compass/,2014-05-29,,0,,,unique_item,Unique item not found in legacy spreadsheet.
50516,What is Meant by Spiritual (2012),https://veritaspub.com/product/what-is-meant-by-spiritual-2012/,2014-04-01,,1,283,What is Meant by Spiritual.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50513,The Importance of Family (2012),https://veritaspub.com/product/the-importance-of-family-2014/,2014-04-01,,1,282,The Importance of Family.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50510,How to See the Reality of Life (2012),https://veritaspub.com/product/how-to-see-the-reality-of-life/,2014-04-01,,1,279,How to See the Reality of Life.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50507,Improving Your Relationships (2012),https://veritaspub.com/product/improving-your-relationships-2012/,2014-04-01,,1,280,Improving Your Relationships.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50494,What You Are Changes the World (2012),https://veritaspub.com/product/what-you-are-changes-the-world-2/,2014-03-31,,1,285,What You are Changes the World.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50491,How to Live Your Life Like A Prayer (2012),https://veritaspub.com/product/how-to-live-your-life-like-a-prayer-2/,2014-03-31,,1,121,Live Your Life Like a Prayer,matched_by_title,
50488,What is Real Success? (2012),https://veritaspub.com/product/what-is-real-success/,2014-03-31,,0,,,unique_item,Unique item not found in legacy spreadsheet.
50485,Permanent Inner Peace (2012),https://veritaspub.com/product/permanent-inner-peace-2012/,2014-03-31,,0,,,unique_item,Unique item not found in legacy spreadsheet.
50411,Power vs. Force: The Hidden Determinants of Human Behavior book,https://veritaspub.com/product/power-vs-force-the-hidden-determinants-of-human-behavior-book/,2014-03-30,,1,202,101 Volume I-Power vs Force (Part 1).mp4,matched_by_title,
50407,Transcending the Levels of Consciousness (Book),https://veritaspub.com/product/transcending-the-levels-of-consciousness-book/,2014-03-30,,1,294,Transcending the Levels of Consciousness,matched_by_primary_source,Exact master primary Veritas URL match.
50398,Truth vs. Falsehood: How to Tell the Difference (Book),https://veritaspub.com/product/truth-vs-falsehood-how-to-tell-the-difference-book/,2014-03-30,,1,289,Truth vs Falsehood,matched_by_title,
50393,The Eye of the I (Book),https://veritaspub.com/product/the-eye-of-the-i-book/,2014-03-30,,1,287,The Eye of the I,matched_by_primary_source,Exact master primary Veritas URL match.
50388,"Reality, Spirituality and Modern Man (Book)",https://veritaspub.com/product/reality-spirituality-and-modern-man-book/,2014-03-30,,1,293,"Reality, Spirituality and Modern Man",matched_by_primary_source,Exact master primary Veritas URL match.
50382,I: Reality and Subjectivity (Book),https://veritaspub.com/product/i-reality-and-subjectivity-book/,2014-03-30,,1,288,I Reality and Subjectivity,matched_by_primary_source,Exact master primary Veritas URL match.
50378,Healing and Recovery (Book),https://veritaspub.com/product/healing-and-recovery-copy/,2014-03-30,,1,291,Healing and Recovery,matched_by_normalized_title,
50370,Letting Go: The Pathway of Surrender (Book),https://veritaspub.com/product/letting-go-the-pathway-of-surrender-book/,2014-03-30,,1,290,Letting Go,matched_by_primary_source,Exact master primary Veritas URL match.
50458,Death and Dying,https://veritaspub.com/product/death-and-dying/,2014-03-26,,1,250,B-06 Office Series-Death and Dying.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50438,Cancer,https://veritaspub.com/product/cancer/,2014-03-24,,1,248,B-04 Office Series-Cancer.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50432,A Map of Consciousness,https://veritaspub.com/product/a-map-of-consciousness/,2014-03-23,,1,247,B-03 Office Series-A Map Of Consciousness.mp4,matched_by_title,
50453,Drug Addiction and Alcoholism,https://veritaspub.com/product/drug-addiction-and-alcoholism/,2014-03-21,,1,245,B-01 Office Series-Drug Addiction and Alcoholism....mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50435,Alcoholism,https://veritaspub.com/product/alcoholism/,2014-03-12,,1,244,A-12 Office Series-Alcoholism.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50470,Illness and Self-Healing,https://veritaspub.com/product/illness-and-self-healing/,2014-03-11,,1,243,A-11 Office Series-Illness and Self-Healing.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50461,Depression,https://veritaspub.com/product/depression/,2014-03-10,,1,242,A-10 Office Series-Depression.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50444,Losing Weight,https://veritaspub.com/product/losing-weight/,2014-03-09,,1,241,A-09 Office Series-Losing Weight.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50473,Pain and Suffering,https://veritaspub.com/product/pain-and-suffering/,2014-03-08,,1,240,A-08 Office Series-Pain and Suffering.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50482,"Worry, Fear, and Anxiety",https://veritaspub.com/product/worry-fear-and-anxiety-2/,2014-03-07,,1,239,A-07 Office Series-Worry Fear and Anxiety.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50464,Handling Major Crises,https://veritaspub.com/product/handling-major-crises-2/,2014-03-06,,1,238,A-06 Office Series-Handling Major Crises.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50479,The Aging Process,https://veritaspub.com/product/the-aging-process/,2014-03-05,,1,237,A-05 Office Series-The Aging Process.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50476,Sexuality,https://veritaspub.com/product/sexuality-2/,2014-03-04,,1,236,A-04 Office Series-Sexuality.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50441,Spiritual First Aid,https://veritaspub.com/product/spiritual-first-aid-2/,2014-03-03,,1,235,A-03 Office Series-Spiritual First Aid.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50467,Health,https://veritaspub.com/product/health/,2014-03-02,,1,234,A-02 Office Series-Health.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
50447,Stress,https://veritaspub.com/product/stress/,2014-03-01,,1,233,A-01 Office Series-Stress.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
46042,Spiritual Reality,https://veritaspub.com/product/spiritual-reality-3-cd-set/,2014-01-27,,1,270,Spiritual Reality,matched_by_primary_source,Exact master primary Veritas URL match.
40035,Truth Shines Forth,https://veritaspub.com/product/truth-shines-forth-3-cd-set/,2014-01-25,,1,275,Truth Shines Forth,matched_by_primary_source,Exact master primary Veritas URL match.
37223,You Are the Light of Consciousness,https://veritaspub.com/product/you-are-light-consciousness/,2014-01-23,,1,277,You Are the Light of Consciousness,matched_by_primary_source,Exact master primary Veritas URL match.
36441,Virtues: The Spiritual Foundation,https://veritaspub.com/product/virtues-the-spiritual-foundation/,2014-01-22,,1,276,Virtues: The Spiritual Foundation,matched_by_primary_source,Exact master primary Veritas URL match.
1830,Verification of Spiritual Realities,https://veritaspub.com/product/verification-of-spiritual-realities/,2014-01-21,,3,230; 231; 232,Verification of Spiritual Realities PART1.mp4 | Verification of Spiritual Realities PART2.mp4 | Verification of Spiritual Realities PART3.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
37761,The Prevailing Silence,https://veritaspub.com/product/prevailing-silence-3-cd-set/,2014-01-15,,1,273,The Prevailing Silence,matched_by_primary_source,Exact master primary Veritas URL match.
42624,The Presence of Spiritual Awareness,https://veritaspub.com/product/the-presence-of-spiritual-awareness/,2014-01-13,,3,222; 223; 224,The Presence of Spiritual Awareness PART1.mp4 | The Presence of Spiritual Awareness PART2.mp4 | The Presence of Spiritual Awareness PART3.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
1804,The Power of Devotion,https://veritaspub.com/product/the-power-of-devotion/,2014-01-12,,1,272,The Power of Devotion,matched_by_primary_source,Exact master primary Veritas URL match.
1828,The Ever-Present Joy,https://veritaspub.com/product/the-ever-present-joy/,2014-01-10,,1,271,The Ever-Present Joy,matched_by_primary_source,Exact master primary Veritas URL match.
1814,Peace is the Natural State,https://veritaspub.com/product/peace-is-the-natural-state/,2014-01-09,,0,,,unique_item,Unique item not found in legacy spreadsheet.
1822,Love is a Way of Being,https://veritaspub.com/product/love-is-a-way-of-being/,2014-01-08,,3,218; 219; 220,Love is a Way of Being (January 2004) PART1.mp4 | Love is a Way of Being (January 2004) PART2.mp4 | Love is a Way of Being (January 2004) PART3.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
1802,God is The Infinite Field,https://veritaspub.com/product/god-is-the-infinite-field/,2014-01-07,,1,269,God is The Infinite Field,matched_by_primary_source,Exact master primary Veritas URL match.
1810,God is Hidden Within the Beauty of the Music,https://veritaspub.com/product/god-is-hidden-within-the-beauty-of-the-music/,2014-01-06,,1,268,God is Hidden Within the Beauty of the Music,matched_by_primary_source,Exact master primary Veritas URL match.
39375,Compassion: The Pathway of the Heart,https://veritaspub.com/product/compassion-the-pathway-of-the-heart/,2014-01-03,,1,267,Compassion: The Pathway of the Heart,matched_by_primary_source,Exact master primary Veritas URL match.
38104,Become That Which You Are,https://veritaspub.com/product/become-that-which-you-are-3/,2014-01-02,,3,215; 216; 217,Become That Which You Are (June 2004) PART1.mp4 | Become That Which You Are (June 2004) PART2.mp4 | Become That Which You Are (June 2004) PART3.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
1826,All is Divinity,https://veritaspub.com/product/all-is-divinity/,2014-01-01,,1,266,All is Divinity,matched_by_primary_source,Exact master primary Veritas URL match.
1742,The Highest Level of Enlightenment – Audio,https://veritaspub.com/product/the-highest-level-of-enlightenment/,2012-06-15,,1,301,The Highest Level of Enlightenment,matched_by_primary_source,Exact master primary Veritas URL match.
1728,Truth vs. Falsehood: The Art of Spiritual Discernment (CD & DVD set),https://veritaspub.com/product/truth-vs-falsehood-the-art-of-spiritual-discernment/,2011-11-03,,1,289,Truth vs Falsehood,matched_by_primary_source,Exact master primary Veritas URL match.
50772,Love  (Sep 2011),https://veritaspub.com/product/2011-09-love-sept-2011/,2011-09-09,,3,196; 197; 198,Love | Love | Love,matched_by_primary_source,Exact master primary Veritas URL match.
50790,Question/Answer Session (Jul 2011),https://veritaspub.com/product/2011-07-question-and-answer-session-july-2011/,2011-07-03,,1,201,Q&A Session (Jul 2011),matched_by_primary_source,Exact master primary Veritas URL match.
50775,Most Valuable Qualities for a Spiritual Seeker (May 2011),https://veritaspub.com/product/2011-05-most-valuable-qualities-for-a-spiritual-seeker-may-2011/,2011-05-05,,3,193; 194; 195,Most Valuable Qualities for a Spiritual Seeker | Most Valuable Qualities for a Spiritual Seeker | Most Valuable Qualities for a Spiritual Seeker,matched_by_primary_source,Exact master primary Veritas URL match.
1712,Question/Answer Session (Mar 2011),https://veritaspub.com/product/2011-03-question-and-answer-session-march-2011/,2011-03-28,,1,200,Q&A Session (Mar 2011),matched_by_primary_source,Exact master primary Veritas URL match.
50796,Question/Answer Session (Jan 2011),https://veritaspub.com/product/2011-01-question-answer-session-jan-2011/,2011-01-01,,1,199,Q&A Session (Jan 2011),matched_by_primary_source,Exact master primary Veritas URL match.
1704,Satsang Series (Nov 2010),https://veritaspub.com/product/2010-11-satsang-series-nov-2010/,2010-11-08,,1,263,Satsang Series (Nov 2010),matched_by_primary_source,Exact master primary Veritas URL match.
50766,Spiritual Life In Today’s World (Oct 2010),https://veritaspub.com/product/2010-10-spiritual-life-in-todays-world-oct-2010/,2010-10-10,,3,190; 191; 192,Spiritual Life In Today's World | Spiritual Life In Today's World | Spiritual Life In Today's World,matched_by_primary_source,Exact master primary Veritas URL match.
1699,Satsang Series (Sep 2010),https://veritaspub.com/product/satsang-series-3-september-1-2010/,2010-09-15,,0,,,unmatched_official_product,No date-specific Satsang master item; retained as official inventory only.
1695,Healing: Achieving Total Wellness Through Higher Levels of Consciousness – Audio,https://veritaspub.com/product/healing-achieving-total-wellness-through-higher-levels-of-consciousness-by-david-r-hawkins-m-d-ph-d/,2010-07-12,,1,291,Healing and Recovery,matched_by_primary_source,Exact master primary Veritas URL match.
1697,Satsang Series (Jun 2010),https://veritaspub.com/product/satsang-series-june-2010-cd/,2010-06-20,,0,,,unmatched_official_product,No date-specific Satsang master item; retained as official inventory only.
50769,Handling Spiritual Challenges (Apr 2010),https://veritaspub.com/product/2010-04-handling-spiritual-challenges-april-2010/,2010-04-04,,3,187; 188; 189,Handling Spiritual Challenges | Handling Spiritual Challenges | Handling Spiritual Challenges,matched_by_primary_source,Exact master primary Veritas URL match.
1687,Satsang Series (Feb 2010),https://veritaspub.com/product/satsang-series-february-2010/,2010-03-15,,1,262,Satsang Series (Feb 2010),matched_by_primary_source,Exact master primary Veritas URL match.
1683,Satsang Series (Nov 2009),https://veritaspub.com/product/satsang-november-2009-cd/,2009-11-13,,1,261,Satsang Series (Nov 2009),matched_by_primary_source,Exact master primary Veritas URL match.
50752,Success (Oct 2009),https://veritaspub.com/product/2009-10-success-october-2009/,2009-10-10,,3,184; 185; 186,Success | Success | Success,matched_by_primary_source,Exact master primary Veritas URL match.
1677,Satsang Series (Sep 2009),https://veritaspub.com/product/satsang-series-september-2009-cd/,2009-09-21,,1,260,Satsang Series (Sep 2009),matched_by_primary_source,Exact master primary Veritas URL match.
50755,Peace (Aug 2009),https://veritaspub.com/product/2009-08-peace-august-2009/,2009-08-08,,3,181; 182; 183,Peace | Peace | Peace,matched_by_primary_source,Exact master primary Veritas URL match.
1671,Satsang Series (May 2009),https://veritaspub.com/product/satsang-series-2-may-13-2009/,2009-06-24,,1,259,Satsang Series (May 2009),matched_by_primary_source,Exact master primary Veritas URL match.
50758,Happiness (Apr 2009),https://veritaspub.com/product/2009-04-happiness-april-2009/,2009-04-04,,3,178; 179; 180,Happiness | Happiness | Happiness,matched_by_primary_source,Exact master primary Veritas URL match.
50761,What is the World? (Feb 2009),https://veritaspub.com/product/2009-02-what-is-the-world-february-2009/,2009-02-02,,3,175; 176; 177,What is the World? | What is the World? | What is the World?,matched_by_primary_source,Exact master primary Veritas URL match.
1661,“In the World But Not of It” – Audio,https://veritaspub.com/product/in-the-world-but-not-of-it-cd/,2009-01-28,,1,300,"In the World, But Not of It",matched_by_primary_source,Exact master primary Veritas URL match.
1659,Satsang Series (Jan 2009),https://veritaspub.com/product/satsang-series-1-january-7-2009/,2009-01-16,,1,258,Satsang Series (Jan 2009),matched_by_primary_source,Exact master primary Veritas URL match.
50707,A Unique Sedona Seminar (Dec 2008),https://veritaspub.com/product/2008-12-a-unique-sedona-seminar-dec-2008/,2008-12-12,,3,172; 173; 174,A Unique Sedona Seminar | A Unique Sedona Seminar | A Unique Sedona Seminar,matched_by_primary_source,Exact master primary Veritas URL match.
50725,Freedom: Morality and Ethics (Nov 2008),https://veritaspub.com/product/2008-11-freedom-morality-and-ethics-nov-2008/,2008-11-11,,3,169; 170; 171,Freedom: Morality and Ethics | Freedom: Morality and Ethics | Freedom: Morality and Ethics,matched_by_primary_source,Exact master primary Veritas URL match.
50710,Practical Spirituality (Oct 2008),https://veritaspub.com/product/2008-10-practical-spirituality-oct-2008/,2008-10-10,,3,166; 167; 168,Practical Spirituality | Practical Spirituality | Practical Spirituality,matched_by_primary_source,Exact master primary Veritas URL match.
1645,Satsang Series (Sep 2008),https://veritaspub.com/product/satsang-series-3-september-10-2008/,2008-09-25,,1,257,Satsang Series (Sep 2008),matched_by_primary_source,Exact master primary Veritas URL match.
50716,"Overcoming Doubt, Skepticism & Disbelief (Aug 2008)",https://veritaspub.com/product/2008-08-overcoming-doubt-skepticism-disbelief-aug-2008/,2008-08-08,,3,163; 164; 165,"Overcoming Doubt, Skepticism & Disbelief | Overcoming Doubt, Skepticism & Disbelief | Overcoming Doubt, Skepticism & Disbelief",matched_by_primary_source,Exact master primary Veritas URL match.
1639,Satsang Series (Jul 2008),https://veritaspub.com/product/satsang-series-2-july-9-2008/,2008-07-23,,0,,,unmatched_official_product,No date-specific Satsang master item; retained as official inventory only.
50713,"Belief, Trust and Credibility (Jun 2008)",https://veritaspub.com/product/2008-06-belief-trust-and-credibility-june-2008/,2008-06-06,,3,160; 161; 162,"Belief, Trust and Credibility | Belief, Trust and Credibility | Belief, Trust and Credibility",matched_by_primary_source,Exact master primary Veritas URL match.
1633,Satsang Series (May 2008),https://veritaspub.com/product/satsang-series-may-2008-cd/,2008-06-06,,1,256,Satsang Series (May 2008),matched_by_primary_source,Exact master primary Veritas URL match.
50722,The Clear Pathway to Enlightenment (Mar 2008),https://veritaspub.com/product/2008-03-the-clear-pathway-to-enlightenment-march-2008/,2008-03-03,,3,157; 158; 159,The Clear Pathway to Enlightenment | The Clear Pathway to Enlightenment | The Clear Pathway to Enlightenment,matched_by_primary_source,Exact master primary Veritas URL match.
50719,Spirituality: Reason and Faith (Jan 2008),https://veritaspub.com/product/2008-01-spirituality-reason-and-faith-jan-2008/,2008-01-15,,3,154; 155; 156,Spirituality: Reason and Faith | Spirituality: Reason and Faith | Spirituality: Reason and Faith,matched_by_primary_source,Exact master primary Veritas URL match.
50728,Experiential Reality: The Mystic (Dec 2007),https://veritaspub.com/product/2007-12-experiential-reality-the-mystic-dec-2007/,2007-12-12,,3,151; 152; 153,Experiential Reality: The Mystic | Experiential Reality: The Mystic | Experiential Reality: The Mystic,matched_by_primary_source,Exact master primary Veritas URL match.
50731,Spiritual Survival: Realization of Reality (Nov 2007),https://veritaspub.com/product/2007-11-spiritual-survival-realization-of-reality-nov-2007/,2007-11-11,,3,148; 149; 150,Spiritual Survival: Realization of Reality | Spiritual Survival: Realization of Reality | Spiritual Survival: Realization of Reality,matched_by_primary_source,Exact master primary Veritas URL match.
50734,Creation vs Evolution (Oct 2007),https://veritaspub.com/product/2007-10-creation-vs-evolution-2007-oct/,2007-10-10,,3,145; 146; 147,Creation vs Evolution | Creation vs Evolution | Creation vs Evolution,matched_by_primary_source,Exact master primary Veritas URL match.
1602,Satsang Series (Sep 2007),https://veritaspub.com/product/satsang-series-sept-2007-cd/,2007-09-09,,1,255,Satsang Series (Sep 2007),matched_by_primary_source,Exact master primary Veritas URL match.
50521,A Review of the Work (Sep 2007),https://veritaspub.com/product/2007-09-a-review-of-the-work/,2007-09-09,,3,142; 143; 144,A Review of the Work | A Review of the Work | A Review of the Work,matched_by_primary_source,Exact master primary Veritas URL match.
50737,The Human Dilemma (Aug 2007),https://veritaspub.com/product/2007-08-the-human-dilemma-aug-2007/,2007-08-08,,3,139; 140; 141,The Human Dilemma | The Human Dilemma | The Human Dilemma,matched_by_primary_source,Exact master primary Veritas URL match.
50740,What is Truth? The Absolute (Jul 2007),https://veritaspub.com/product/2007-07-what-is-truth-the-absolute-july-2007/,2007-07-07,,3,136; 137; 138,What is Truth? The Absolute | What is Truth? The Absolute | What is Truth? The Absolute,matched_by_primary_source,Exact master primary Veritas URL match.
1592,Satsang Series (Jul 2007),https://veritaspub.com/product/satsang-series-4-july-11-2007/,2007-07-07,,1,254,Satsang Series (Jul 2007),matched_by_primary_source,Exact master primary Veritas URL match.
50743,What is ‘Real’? (Jun ),https://veritaspub.com/product/2007-06-what-is-real-june-2007/,2007-06-06,,3,133; 134; 135,What is 'Real'? | What is 'Real'? | What is 'Real'?,matched_by_primary_source,Exact master primary Veritas URL match.
1586,Satsang Series (May 2007),https://veritaspub.com/product/satsang-series-may-2007-cd/,2007-05-05,,1,253,Satsang Series (May 2007),matched_by_primary_source,Exact master primary Veritas URL match.
50746,Relativism vs Reality (Apr 2007),https://veritaspub.com/product/2007-04-relativism-vs-reality-april-2007/,2007-04-04,,3,130; 131; 132,Relativism vs Reality | Relativism vs Reality | Relativism vs Reality,matched_by_primary_source,Exact master primary Veritas URL match.
1560,Map of Consciousness®,https://veritaspub.com/product/map-of-consciousness-dr-david-hawkins/,2007-03-16,,1,247,B-03 Office Series-A Map Of Consciousness.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
1552,Golden Word Book Signing – Audio,https://veritaspub.com/product/https-veritaspub-com-product-golden-word-book-signing-january-13-2007/,2007-03-16,,1,265,Audio 27. Golden Word Book Signing – Audio,matched_by_primary_source,Exact master primary Veritas URL match.
1548,Unity Church of Sedona 2006 June (CD),https://veritaspub.com/product/unity-church-of-sedona-june-2006-cd/,2007-03-16,,0,,,unique_item,Unique item not found in legacy spreadsheet.
1546,Unity Church of Sedona 2005 March (CD),https://veritaspub.com/product/unity-church-of-sedona-march-6th-2005/,2007-03-16,,0,,,unique_item,Unique item not found in legacy spreadsheet.
1544,Giving Up Illness through A Course in Miracles© – Audio,https://veritaspub.com/product/giving-up-illness-through-a-course-in-miracles/,2007-03-16,,0,,,unique_item,Unique item not found in legacy spreadsheet.
1542,Power vs. Force Audio Book,https://veritaspub.com/product/power-vs-force-the-hidden-determinants-of-human-behavior-2/,2007-03-16,,1,202,101 Volume I-Power vs Force (Part 1).mp4,matched_by_title,
50801,Volume VII: A Conversation with Knowingness,https://veritaspub.com/product/vol-vii-a-conversation-with-knowingness/,2007-03-07,,1,214,701 Volume VII A-Conversation with Knowingness-converted.mp4,matched_by_primary_source,Exact master primary Veritas URL match.
