veritas_product_id,streaming_url,review_status,reviewed_on,evidence_note
50473,https://veritaspub.com/pain-and-suffering/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50473/ contains Stream icon linking to https://veritaspub.com/pain-and-suffering/; verified via live page-fetch 2026-08-04 batch.
50482,https://veritaspub.com/worry-fear-and-anxiety/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50482/ contains Stream icon linking to https://veritaspub.com/worry-fear-and-anxiety/; verified via live page-fetch 2026-08-04 batch.
50464,https://veritaspub.com/handling-major-crises/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50464/ contains Stream icon linking to https://veritaspub.com/handling-major-crises/; verified via live page-fetch 2026-08-04 batch.
50479,https://veritaspub.com/the-aging-process/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50479/ contains Stream icon linking to https://veritaspub.com/the-aging-process/; verified via live page-fetch 2026-08-04 batch.
50476,https://veritaspub.com/sexuality/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/sexuality/; verified via live page-fetch 2026-08-04 batch.
50441,https://veritaspub.com/spiritual-first-aid/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/spiritual-first-aid/; verified via live page-fetch 2026-08-04 batch.
50467,https://veritaspub.com/health/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/health/; verified via live page-fetch 2026-08-04 batch.
50447,https://veritaspub.com/stress/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/stress/; verified via live page-fetch 2026-08-04 batch.
1830,https://veritaspub.com/verification-of-spiritual-realities/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/verification-of-spiritual-realities/; verified via live page-fetch 2026-08-04 batch.
1822,https://veritaspub.com/love-is-a-way-of-being/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/love-is-a-way-of-being/; verified via live page-fetch 2026-08-04 batch.
38104,https://veritaspub.com/become-that-which-you-are/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/become-that-which-you-are/; verified via live page-fetch 2026-08-04 batch.
50567,https://veritaspub.com/causality-the-egos-foundation-jan-2002-streaming/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/causality-the-egos-foundation-jan-2002-streaming/; verified via live page-fetch 2026-08-04 batch.
50574,https://veritaspub.com/the-levels-of-consciousness-subjective-social-consequences-mar-2002-streaming/,approved,2026-08-04,Product page contains Stream icon linking to https://veritaspub.com/the-levels-of-consciousness-subjective-social-consequences-mar-2002-streaming/; verified via live page-fetch 2026-08-04 batch.
50521,https://veritaspub.com/a-review-of-the-work-sept-2007/,approved,2026-08-08,Product page https://veritaspub.com/product/2007-09-a-review-of-the-work/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-08 batch.
50577,https://veritaspub.com/positionality-and-duality-transcending-the-opposites-apr-2002-streaming/,approved,2026-08-08,Product page https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-08 batch.
50580,https://veritaspub.com/perception-and-illusion-distortions-of-reality-may-2002-streaming/,approved,2026-08-08,Product page https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-08 batch.
50583,https://veritaspub.com/realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002-streaming/,approved,2026-08-08,Product page https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-08 batch.
50586,https://veritaspub.com/the-nature-of-divinity-vs-religious-fallacy-jul-2002/,approved,2026-08-08,Product page https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-08 batch.
