raw_row_number,disposition,review_reason,proposed_series,proposed_title,proposed_item_type,proposed_year,proposed_month,proposed_format,proposed_format_detail,proposed_owned,proposed_source_url_veritas,raw_uuid,raw_tempid,raw_title,raw_we_have,raw_original_source,raw_unnamed_5,raw_format,raw_product_link,raw_unnamed_8,raw_unnamed_9,raw_unnamed_10,raw_unnamed_11,raw_other_links
13,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD01,lecture,2002,03,DVD,Part 1,True,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,,LS200203_1,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,,,,,
14,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD02,lecture,2002,03,DVD,Part 2,True,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,,LS200203_2,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,,,,,
15,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD03,lecture,2002,03,DVD,Part 3,True,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,,LS200203_3,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,,,,,
16,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD01,lecture,2002,04,DVD,Part 1,True,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,,LS200204_1,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,,,,,
17,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD02,lecture,2002,04,DVD,Part 2,True,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,,LS200204_2,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,,,,,
18,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD03,lecture,2002,04,DVD,Part 3,True,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,,LS200204_3,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,,,,,
19,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Perception and Illusion: Distortions of Reality (May 2002) DVD01,lecture,2002,05,DVD,Part 1,True,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,,LS200205_1,Perception and Illusion: Distortions of Reality (May 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,,,,,
20,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Perception and Illusion: Distortions of Reality (May 2002) DVD02,lecture,2002,05,DVD,Part 2,True,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,,LS200205_2,Perception and Illusion: Distortions of Reality (May 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,,,,,
21,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Perception and Illusion: Distortions of Reality (May 2002) DVD03,lecture,2002,05,DVD,Part 3,True,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,,LS200205_3,Perception and Illusion: Distortions of Reality (May 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,,,,,
22,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD01,lecture,2002,06,DVD,Part 1,True,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,,LS200206_1,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,,,,,
23,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD02,lecture,2002,06,DVD,Part 2,True,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,,LS200206_2,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,,,,,
24,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD03,lecture,2002,06,DVD,Part 3,True,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,,LS200206_3,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,,,,,
25,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD01,lecture,2002,07,DVD,Part 1,True,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,,LS200207_1,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,,,,,
26,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD02,lecture,2002,07,DVD,Part 2,True,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,,LS200207_2,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,,,,,
27,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD03,lecture,2002,07,DVD,Part 3,True,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,,LS200207_3,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,,,,,
28,item,Item candidate indicated by ownership status and/or legacy tempid. Raw product URL fixed 2026-08-08; official Veritas source URL is now usable.,The Way to God,Advaita: The Way to God Through Mind (Aug 2002) DVD01,lecture,2002,,DVD,Part 1,True,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,,LS200208_1,Advaita: The Way to God Through Mind (Aug 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,,,,,
29,item,Item candidate indicated by ownership status and/or legacy tempid. Raw product URL fixed 2026-08-08; official Veritas source URL is now usable.,The Way to God,Advaita: The Way to God Through Mind (Aug 2002) DVD02,lecture,2002,,DVD,Part 2,True,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,,LS200208_2,Advaita: The Way to God Through Mind (Aug 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,,,,,
30,item,Item candidate indicated by ownership status and/or legacy tempid. Raw product URL fixed 2026-08-08; official Veritas source URL is now usable.,The Way to God,Advaita: The Way to God Through Mind (Aug 2002) DVD03,lecture,2002,,DVD,Part 3,True,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,,LS200208_3,Advaita: The Way to God Through Mind (Aug 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,,,,,
31,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Devotion: The Way to God Through the Heart (Sep 2002) DVD01,lecture,2002,09,DVD,Part 1,True,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,,LS200209_1,Devotion: The Way to God Through the Heart (Sep 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,,,,,
32,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Devotion: The Way to God Through the Heart (Sep 2002) DVD02,lecture,2002,09,DVD,Part 2,True,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,,LS200209_2,Devotion: The Way to God Through the Heart (Sep 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,,,,,
33,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Devotion: The Way to God Through the Heart (Sep 2002) DVD03,lecture,2002,09,DVD,Part 3,True,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,,LS200209_3,Devotion: The Way to God Through the Heart (Sep 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,,,,,
34,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Karma and the Afterlife (Oct 2002) DVD01,lecture,2002,10,DVD,Part 1,True,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,LS200210_1,Karma and the Afterlife (Oct 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,,,,
35,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Karma and the Afterlife (Oct 2002) DVD02,lecture,2002,10,DVD,Part 2,True,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,LS200210_2,Karma and the Afterlife (Oct 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,,,,
36,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Karma and the Afterlife (Oct 2002) DVD03,lecture,2002,10,DVD,Part 3,True,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,LS200210_3,Karma and the Afterlife (Oct 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,,,,,
37,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,God: Transcendent and Immanent (Nov 2002) DVD01,lecture,2002,11,DVD,Part 1,True,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,LS200211_1,God: Transcendent and Immanent (Nov 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,,,,
38,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,God: Transcendent and Immanent (Nov 2002) DVD02,lecture,2002,11,DVD,Part 2,True,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,LS200211_2,God: Transcendent and Immanent (Nov 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,,,,
39,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,God: Transcendent and Immanent (Nov 2002) DVD03,lecture,2002,11,DVD,Part 3,True,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,LS200211_3,God: Transcendent and Immanent (Nov 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,,,,,
40,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Realization of the Self: The Final Moments (Dec 2002) DVD01,lecture,2002,12,DVD,Part 1,True,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,LS200212_1,Realization of the Self: The Final Moments (Dec 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,,,,
41,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Realization of the Self: The Final Moments (Dec 2002) DVD02,lecture,2002,12,DVD,Part 2,True,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,LS200212_2,Realization of the Self: The Final Moments (Dec 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,,,,
42,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Realization of the Self: The Final Moments (Dec 2002) DVD03,lecture,2002,12,DVD,Part 3,True,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,LS200212_3,Realization of the Self: The Final Moments (Dec 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,,,,,
43,blank_separator,Empty visual separator row.,,,,,,,,,,,,,,,,,,,,,,
44,series_context,Annual lecture-series heading.,,,,,,,,,,,,Series 2003: Devotional Nonduality,,,,,,,,,,
45,blank_separator,Empty visual separator row.,,,,,,,,,,,,,,,,,,,,,,
46,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Integration of Spirituality and Personal Life (Feb 2003) DVD01,lecture,2003,02,DVD,Part 1,True,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,LS200301_1,Integration of Spirituality and Personal Life (Feb 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,,,,
47,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Integration of Spirituality and Personal Life (Feb 2003) DVD02,lecture,2003,02,DVD,Part 2,True,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,LS200301_2,Integration of Spirituality and Personal Life (Feb 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,,,,
48,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Integration of Spirituality and Personal Life (Feb 2003) DVD03,lecture,2003,02,DVD,Part 3,True,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,LS200301_3,Integration of Spirituality and Personal Life (Feb 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,,,,,
49,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Spirituality and the World (Apr 2003) DVD01,lecture,2003,04,DVD,Part 1,True,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,LS200302_1,Spirituality and the World (Apr 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,,,,
50,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Spirituality and the World (Apr 2003) DVD02,lecture,2003,04,DVD,Part 2,True,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,LS200302_2,Spirituality and the World (Apr 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,,,,
51,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Spirituality and the World (Apr 2003) DVD03,lecture,2003,04,DVD,Part 3,True,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,LS200302_3,Spirituality and the World (Apr 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,,,,,
52,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Spiritual Community (Jun 2003) DVD01,lecture,2003,06,DVD,Part 1,True,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,LS200303_1,Spiritual Community (Jun 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,,,,
53,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Spiritual Community (Jun 2003) DVD02,lecture,2003,06,DVD,Part 2,True,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,LS200303_2,Spiritual Community (Jun 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,,,,
54,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Spiritual Community (Jun 2003) DVD03,lecture,2003,06,DVD,Part 3,True,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,LS200303_3,Spiritual Community (Jun 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,,,,,
55,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Enlightenment (Aug 2003) DVD01,lecture,2003,08,DVD,Part 1,True,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,LS200304_1,Enlightenment (Aug 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,,,,
56,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Enlightenment (Aug 2003) DVD02,lecture,2003,08,DVD,Part 2,True,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,LS200304_2,Enlightenment (Aug 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,,,,
57,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Enlightenment (Aug 2003) DVD03,lecture,2003,08,DVD,Part 3,True,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,LS200304_3,Enlightenment (Aug 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,,,,,
58,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Realization of the Self as the 'I' (Nov 2003) DVD01,lecture,2003,11,DVD,Part 1,True,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,LS200305_1,Realization of the Self as the 'I' (Nov 2003) DVD01,✅,veritas,,,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,,,,
59,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Realization of the Self as the 'I' (Nov 2003) DVD02,lecture,2003,11,DVD,Part 2,True,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,LS200305_2,Realization of the Self as the 'I' (Nov 2003) DVD02,✅,veritas,,,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,,,,
60,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,Realization of the Self as the 'I' (Nov 2003) DVD03,lecture,2003,11,DVD,Part 3,True,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,LS200305_3,Realization of the Self as the 'I' (Nov 2003) DVD03,✅,veritas,,,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,,,,,
61,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,"Dialogue, Questions, and Answers (Dec 2003) DVD01",lecture,2003,12,DVD,Part 1,True,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,LS200306_1,"Dialogue, Questions, and Answers (Dec 2003) DVD01",✅,veritas,,,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,,,,
62,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,"Dialogue, Questions, and Answers (Dec 2003) DVD02",lecture,2003,12,DVD,Part 2,True,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,LS200306_2,"Dialogue, Questions, and Answers (Dec 2003) DVD02",✅,veritas,,,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,,,,
63,item,Item candidate indicated by ownership status and/or legacy tempid.,Devotional Nonduality,"Dialogue, Questions, and Answers (Dec 2003) DVD03",lecture,2003,12,DVD,Part 3,True,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,LS200306_3,"Dialogue, Questions, and Answers (Dec 2003) DVD03",✅,veritas,,,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,,,,,
64,blank_separator,Empty visual separator row.,,,,,,,,,,,,,,,,,,,,,,
65,series_context,Annual lecture-series heading.,,,,,,,,,,,,Series 2004: Transcending the Mind,,,,,,,,,,
66,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Thought and Ideation (Feb 2004) DVD01,lecture,2004,02,DVD,Part 1,True,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,LS200401_1,Thought and Ideation (Feb 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,,,,
67,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Thought and Ideation (Feb 2004) DVD02,lecture,2004,02,DVD,Part 2,True,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,LS200401_2,Thought and Ideation (Feb 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,,,,
68,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Thought and Ideation (Feb 2004) DVD03,lecture,2004,02,DVD,Part 3,True,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,LS200401_3,Thought and Ideation (Feb 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,,,,,
69,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Emotions and Sensations (Apr 2004) DVD01,lecture,2004,04,DVD,Part 1,True,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,LS200402_1,Emotions and Sensations (Apr 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,,,,
70,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Emotions and Sensations (Apr 2004) DVD02,lecture,2004,04,DVD,Part 2,True,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,LS200402_2,Emotions and Sensations (Apr 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,,,,
71,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Emotions and Sensations (Apr 2004) DVD03,lecture,2004,04,DVD,Part 3,True,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,LS200402_3,Emotions and Sensations (Apr 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,,,,,
72,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Perception and Positionality (Jun 2004) DVD01,lecture,2004,06,DVD,Part 1,True,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,LS200403_1,Perception and Positionality (Jun 2004) DVD01,✅,veritas,,,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,,,,
73,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Perception and Positionality (Jun 2004) DVD02,lecture,2004,06,DVD,Part 2,True,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,LS200403_2,Perception and Positionality (Jun 2004) DVD02,✅,veritas,,,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,,,,
74,item,Item candidate indicated by ownership status and/or legacy tempid.,Transcending the Mind,Perception and Positionality (Jun 2004) DVD03,lecture,2004,06,DVD,Part 3,True,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,LS200403_3,Perception and Positionality (Jun 2004) DVD03,✅,veritas,,,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,,,,,
