raw_row_number,legacy_tempid,proposed_canonical_title,raw_title,proposed_series,proposed_item_type,proposed_year,proposed_month,proposed_format,proposed_format_detail,proposed_owned,proposed_source_url_veritas,raw_product_link,link_review_status,approval,review_notes
17,LS200204_2,Positionality and Duality: Transcending the Opposites,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD02,The Way to God,lecture,2002,04,DVD,DVD02,true,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,proposed_valid,,
18,LS200204_3,Positionality and Duality: Transcending the Opposites,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD03,The Way to God,lecture,2002,04,DVD,DVD03,true,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,proposed_valid,,
19,LS200205_1,Perception and Illusion: Distortions of Reality,Perception and Illusion: Distortions of Reality (May 2002) DVD01,The Way to God,lecture,2002,05,DVD,DVD01,true,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,proposed_valid,,
20,LS200205_2,Perception and Illusion: Distortions of Reality,Perception and Illusion: Distortions of Reality (May 2002) DVD02,The Way to God,lecture,2002,05,DVD,DVD02,true,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,proposed_valid,,
21,LS200205_3,Perception and Illusion: Distortions of Reality,Perception and Illusion: Distortions of Reality (May 2002) DVD03,The Way to God,lecture,2002,05,DVD,DVD03,true,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,proposed_valid,,
22,LS200206_1,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD01,The Way to God,lecture,2002,06,DVD,DVD01,true,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,proposed_valid,,
23,LS200206_2,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD02,The Way to God,lecture,2002,06,DVD,DVD02,true,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,proposed_valid,,
24,LS200206_3,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002) DVD03,The Way to God,lecture,2002,06,DVD,DVD03,true,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,proposed_valid,,
25,LS200207_1,The Nature of Divinity vs Religious Fallacy,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD01,The Way to God,lecture,2002,07,DVD,DVD01,true,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,proposed_valid,,
26,LS200207_2,The Nature of Divinity vs Religious Fallacy,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD02,The Way to God,lecture,2002,07,DVD,DVD02,true,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,proposed_valid,,
27,LS200207_3,The Nature of Divinity vs Religious Fallacy,The Nature of Divinity vs Religious Fallacy (Jul 2002) DVD03,The Way to God,lecture,2002,07,DVD,DVD03,true,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,proposed_valid,,
28,LS200208_1,Advaita: The Way to God Through Mind,Advaita: The Way to God Through Mind (Aug 2002) DVD01,The Way to God,lecture,2002,08,DVD,DVD01,true,,https://veritaspub.com/product/https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,quarantined_malformed,,
29,LS200208_2,Advaita: The Way to God Through Mind,Advaita: The Way to God Through Mind (Aug 2002) DVD02,The Way to God,lecture,2002,08,DVD,DVD02,true,,https://veritaspub.com/product/https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,quarantined_malformed,,
30,LS200208_3,Advaita: The Way to God Through Mind,Advaita: The Way to God Through Mind (Aug 2002) DVD03,The Way to God,lecture,2002,08,DVD,DVD03,true,,https://veritaspub.com/product/https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,quarantined_malformed,,
31,LS200209_1,Devotion: The Way to God Through the Heart,Devotion: The Way to God Through the Heart (Sep 2002) DVD01,The Way to God,lecture,2002,09,DVD,DVD01,true,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,proposed_valid,,
32,LS200209_2,Devotion: The Way to God Through the Heart,Devotion: The Way to God Through the Heart (Sep 2002) DVD02,The Way to God,lecture,2002,09,DVD,DVD02,true,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,proposed_valid,,
33,LS200209_3,Devotion: The Way to God Through the Heart,Devotion: The Way to God Through the Heart (Sep 2002) DVD03,The Way to God,lecture,2002,09,DVD,DVD03,true,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,https://veritaspub.com/product/2002-09-devotion-the-way-to-god-through-the-heart-sept-2002/,proposed_valid,,
34,LS200210_1,Karma and the Afterlife,Karma and the Afterlife (Oct 2002) DVD01,The Way to God,lecture,2002,10,DVD,DVD01,true,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,proposed_valid,,
35,LS200210_2,Karma and the Afterlife,Karma and the Afterlife (Oct 2002) DVD02,The Way to God,lecture,2002,10,DVD,DVD02,true,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,proposed_valid,,
36,LS200210_3,Karma and the Afterlife,Karma and the Afterlife (Oct 2002) DVD03,The Way to God,lecture,2002,10,DVD,DVD03,true,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,https://veritaspub.com/product/2002-10-karma-and-the-afterlife-oct-2002-streaming/,proposed_valid,,
37,LS200211_1,God: Transcendent and Immanent,God: Transcendent and Immanent (Nov 2002) DVD01,The Way to God,lecture,2002,11,DVD,DVD01,true,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,proposed_valid,,
38,LS200211_2,God: Transcendent and Immanent,God: Transcendent and Immanent (Nov 2002) DVD02,The Way to God,lecture,2002,11,DVD,DVD02,true,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,proposed_valid,,
39,LS200211_3,God: Transcendent and Immanent,God: Transcendent and Immanent (Nov 2002) DVD03,The Way to God,lecture,2002,11,DVD,DVD03,true,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,https://veritaspub.com/product/2002-11-god-transcendent-and-immanent-nov-2002/,proposed_valid,,
40,LS200212_1,Realization of the Self: The Final Moments,Realization of the Self: The Final Moments (Dec 2002) DVD01,The Way to God,lecture,2002,12,DVD,DVD01,true,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,proposed_valid,,
41,LS200212_2,Realization of the Self: The Final Moments,Realization of the Self: The Final Moments (Dec 2002) DVD02,The Way to God,lecture,2002,12,DVD,DVD02,true,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,proposed_valid,,
42,LS200212_3,Realization of the Self: The Final Moments,Realization of the Self: The Final Moments (Dec 2002) DVD03,The Way to God,lecture,2002,12,DVD,DVD03,true,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,https://veritaspub.com/product/2002-12-realization-of-the-self-the-final-moments-dec-2002/,proposed_valid,,
46,LS200301_1,Integration of Spirituality and Personal Life,Integration of Spirituality and Personal Life (Feb 2003) DVD01,Devotional Nonduality,lecture,2003,01,DVD,DVD01,true,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,proposed_valid,,
47,LS200301_2,Integration of Spirituality and Personal Life,Integration of Spirituality and Personal Life (Feb 2003) DVD02,Devotional Nonduality,lecture,2003,01,DVD,DVD02,true,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,proposed_valid,,
48,LS200301_3,Integration of Spirituality and Personal Life,Integration of Spirituality and Personal Life (Feb 2003) DVD03,Devotional Nonduality,lecture,2003,01,DVD,DVD03,true,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,https://veritaspub.com/product/2003-02-integration-of-spirituality-and-personal-life-feb-2003/,proposed_valid,,
49,LS200302_1,Spirituality and the World,Spirituality and the World (Apr 2003) DVD01,Devotional Nonduality,lecture,2003,02,DVD,DVD01,true,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,proposed_valid,,
50,LS200302_2,Spirituality and the World,Spirituality and the World (Apr 2003) DVD02,Devotional Nonduality,lecture,2003,02,DVD,DVD02,true,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,proposed_valid,,
51,LS200302_3,Spirituality and the World,Spirituality and the World (Apr 2003) DVD03,Devotional Nonduality,lecture,2003,02,DVD,DVD03,true,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,https://veritaspub.com/product/2003-04-spirituality-and-the-world-april-2003/,proposed_valid,,
52,LS200303_1,Spiritual Community,Spiritual Community (Jun 2003) DVD01,Devotional Nonduality,lecture,2003,03,DVD,DVD01,true,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,proposed_valid,,
53,LS200303_2,Spiritual Community,Spiritual Community (Jun 2003) DVD02,Devotional Nonduality,lecture,2003,03,DVD,DVD02,true,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,proposed_valid,,
54,LS200303_3,Spiritual Community,Spiritual Community (Jun 2003) DVD03,Devotional Nonduality,lecture,2003,03,DVD,DVD03,true,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,https://veritaspub.com/product/2003-06-spiritual-community-june-2003/,proposed_valid,,
55,LS200304_1,Enlightenment,Enlightenment (Aug 2003) DVD01,Devotional Nonduality,lecture,2003,04,DVD,DVD01,true,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,proposed_valid,,
56,LS200304_2,Enlightenment,Enlightenment (Aug 2003) DVD02,Devotional Nonduality,lecture,2003,04,DVD,DVD02,true,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,proposed_valid,,
57,LS200304_3,Enlightenment,Enlightenment (Aug 2003) DVD03,Devotional Nonduality,lecture,2003,04,DVD,DVD03,true,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,https://veritaspub.com/product/2003-08-enlightenment-august-2003/,proposed_valid,,
58,LS200305_1,Realization of the Self as the 'I',Realization of the Self as the 'I' (Nov 2003) DVD01,Devotional Nonduality,lecture,2003,05,DVD,DVD01,true,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,proposed_valid,,
59,LS200305_2,Realization of the Self as the 'I',Realization of the Self as the 'I' (Nov 2003) DVD02,Devotional Nonduality,lecture,2003,05,DVD,DVD02,true,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,proposed_valid,,
60,LS200305_3,Realization of the Self as the 'I',Realization of the Self as the 'I' (Nov 2003) DVD03,Devotional Nonduality,lecture,2003,05,DVD,DVD03,true,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,https://veritaspub.com/product/2003-11-realization-of-the-self-as-the-i-nov-2003/,proposed_valid,,
61,LS200306_1,"Dialogue, Questions, and Answers","Dialogue, Questions, and Answers (Dec 2003) DVD01",Devotional Nonduality,lecture,2003,06,DVD,DVD01,true,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,proposed_valid,,
62,LS200306_2,"Dialogue, Questions, and Answers","Dialogue, Questions, and Answers (Dec 2003) DVD02",Devotional Nonduality,lecture,2003,06,DVD,DVD02,true,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,proposed_valid,,
63,LS200306_3,"Dialogue, Questions, and Answers","Dialogue, Questions, and Answers (Dec 2003) DVD03",Devotional Nonduality,lecture,2003,06,DVD,DVD03,true,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,https://veritaspub.com/product/dialogue-questions-and-answers-dec-2003/,proposed_valid,,
66,LS200401_1,Thought and Ideation,Thought and Ideation (Feb 2004) DVD01,Transcending the Mind,lecture,2004,01,DVD,DVD01,true,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,proposed_valid,,
67,LS200401_2,Thought and Ideation,Thought and Ideation (Feb 2004) DVD02,Transcending the Mind,lecture,2004,01,DVD,DVD02,true,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,proposed_valid,,
68,LS200401_3,Thought and Ideation,Thought and Ideation (Feb 2004) DVD03,Transcending the Mind,lecture,2004,01,DVD,DVD03,true,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/,proposed_valid,,
69,LS200402_1,Emotions and Sensations,Emotions and Sensations (Apr 2004) DVD01,Transcending the Mind,lecture,2004,02,DVD,DVD01,true,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,proposed_valid,,
70,LS200402_2,Emotions and Sensations,Emotions and Sensations (Apr 2004) DVD02,Transcending the Mind,lecture,2004,02,DVD,DVD02,true,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,proposed_valid,,
71,LS200402_3,Emotions and Sensations,Emotions and Sensations (Apr 2004) DVD03,Transcending the Mind,lecture,2004,02,DVD,DVD03,true,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,https://veritaspub.com/product/2004-04-emotions-and-sensations-april-2004/,proposed_valid,,
72,LS200403_1,Perception and Positionality,Perception and Positionality (Jun 2004) DVD01,Transcending the Mind,lecture,2004,03,DVD,DVD01,true,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,proposed_valid,,
73,LS200403_2,Perception and Positionality,Perception and Positionality (Jun 2004) DVD02,Transcending the Mind,lecture,2004,03,DVD,DVD02,true,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,proposed_valid,,
74,LS200403_3,Perception and Positionality,Perception and Positionality (Jun 2004) DVD03,Transcending the Mind,lecture,2004,03,DVD,DVD03,true,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,https://veritaspub.com/product/2004-06-perception-and-positionality-june-2004/,proposed_valid,,
75,LS200404_1,Identification and Illusion,Identification and Illusion (Aug 2004) DVD01,Transcending the Mind,lecture,2004,04,DVD,DVD01,true,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,proposed_valid,,
76,LS200404_2,Identification and Illusion,Identification and Illusion (Aug 2004) DVD02,Transcending the Mind,lecture,2004,04,DVD,DVD02,true,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,proposed_valid,,
77,LS200404_3,Identification and Illusion,Identification and Illusion (Aug 2004) DVD03,Transcending the Mind,lecture,2004,04,DVD,DVD03,true,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,https://veritaspub.com/product/2004-08-identification-and-illusion-aug-2004/,proposed_valid,,
78,LS200405_1,Witnessing and Observing,Witnessing and Observing (Oct 2004) DVD01,Transcending the Mind,lecture,2004,05,DVD,DVD01,true,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,proposed_valid,,
79,LS200405_2,Witnessing and Observing,Witnessing and Observing (Oct 2004) DVD02,Transcending the Mind,lecture,2004,05,DVD,DVD02,true,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,proposed_valid,,
80,LS200405_3,Witnessing and Observing,Witnessing and Observing (Oct 2004) DVD03,Transcending the Mind,lecture,2004,05,DVD,DVD03,true,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,https://veritaspub.com/product/2004-10-witnessing-and-observing-october-2004/,proposed_valid,,
81,LS200406_1,The Ego and The Self,The Ego and The Self (Dec 2004) DVD01,Transcending the Mind,lecture,2004,06,DVD,DVD01,true,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,proposed_valid,,
82,LS200406_2,The Ego and The Self,The Ego and The Self (Dec 2004) DVD02,Transcending the Mind,lecture,2004,06,DVD,DVD02,true,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,proposed_valid,,
83,LS200406_3,The Ego and The Self,The Ego and The Self (Dec 2004) DVD03,Transcending the Mind,lecture,2004,06,DVD,DVD03,true,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,https://veritaspub.com/product/2004-12-the-ego-and-the-self-december-2004/,proposed_valid,,
85,LS200501_1,Vision,Vision (Feb 2005) DVD01,Nonduality Intensive,lecture,2005,01,DVD,DVD01,true,https://veritaspub.com/product/vision-feb-2005/,https://veritaspub.com/product/vision-feb-2005/,proposed_valid,,
86,LS200501_2,Vision,Vision (Feb 2005) DVD02,Nonduality Intensive,lecture,2005,01,DVD,DVD02,true,https://veritaspub.com/product/vision-feb-2005/,https://veritaspub.com/product/vision-feb-2005/,proposed_valid,,
87,LS200501_3,Vision,Vision (Feb 2005) DVD03,Nonduality Intensive,lecture,2005,01,DVD,DVD03,true,https://veritaspub.com/product/vision-feb-2005/,https://veritaspub.com/product/vision-feb-2005/,proposed_valid,,
88,LS200502_1,Alignment,Alignment (Apr 2005) DVD01,Nonduality Intensive,lecture,2005,02,DVD,DVD01,true,https://veritaspub.com/product/2005-04-alignment-apr-2005/,https://veritaspub.com/product/2005-04-alignment-apr-2005/,proposed_valid,,
89,LS200502_2,Alignment,Alignment (Apr 2005) DVD02,Nonduality Intensive,lecture,2005,02,DVD,DVD02,true,https://veritaspub.com/product/2005-04-alignment-apr-2005/,https://veritaspub.com/product/2005-04-alignment-apr-2005/,proposed_valid,,
90,LS200502_3,Alignment,Alignment (Apr 2005) DVD03,Nonduality Intensive,lecture,2005,02,DVD,DVD03,true,https://veritaspub.com/product/2005-04-alignment-apr-2005/,https://veritaspub.com/product/2005-04-alignment-apr-2005/,proposed_valid,,
91,LS200503_1,Intention,Intention (May 2005) DVD01,Nonduality Intensive,lecture,2005,03,DVD,DVD01,true,https://veritaspub.com/product/2005-05-intention-may-2005/,https://veritaspub.com/product/2005-05-intention-may-2005/,proposed_valid,,
92,LS200503_2,Intention,Intention (May 2005) DVD02,Nonduality Intensive,lecture,2005,03,DVD,DVD02,true,https://veritaspub.com/product/2005-05-intention-may-2005/,https://veritaspub.com/product/2005-05-intention-may-2005/,proposed_valid,,
93,LS200503_3,Intention,Intention (May 2005) DVD03,Nonduality Intensive,lecture,2005,03,DVD,DVD03,true,https://veritaspub.com/product/2005-05-intention-may-2005/,https://veritaspub.com/product/2005-05-intention-may-2005/,proposed_valid,,
94,LS200504_1,Transcending Barriers,Transcending Barriers (Jun 2005) DVD01,Nonduality Intensive,lecture,2005,04,DVD,DVD01,true,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,proposed_valid,,
95,LS200504_2,Transcending Barriers,Transcending Barriers (Jun 2005) DVD02,Nonduality Intensive,lecture,2005,04,DVD,DVD02,true,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,proposed_valid,,
96,LS200504_3,Transcending Barriers,Transcending Barriers (Jun 2005) DVD03,Nonduality Intensive,lecture,2005,04,DVD,DVD03,true,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,https://veritaspub.com/product/2005-06-transcending-barriers-june-2005/,proposed_valid,,
97,LS200505_1,Conviction,Conviction (Jul 2005) DVD01,Nonduality Intensive,lecture,2005,05,DVD,DVD01,true,https://veritaspub.com/product/2005-07-conviction-july-2005/,https://veritaspub.com/product/2005-07-conviction-july-2005/,proposed_valid,,
98,LS200505_2,Conviction,Conviction (Jul 2005) DVD02,Nonduality Intensive,lecture,2005,05,DVD,DVD02,true,https://veritaspub.com/product/2005-07-conviction-july-2005/,https://veritaspub.com/product/2005-07-conviction-july-2005/,proposed_valid,,
99,LS200505_3,Conviction,Conviction (Jul 2005) DVD03,Nonduality Intensive,lecture,2005,05,DVD,DVD03,true,https://veritaspub.com/product/2005-07-conviction-july-2005/,https://veritaspub.com/product/2005-07-conviction-july-2005/,proposed_valid,,
100,LS200506_1,Serenity,Serenity (Aug 2005) DVD01,Nonduality Intensive,lecture,2005,06,DVD,DVD01,true,https://veritaspub.com/product/2005-08-serenity-august-2005/,https://veritaspub.com/product/2005-08-serenity-august-2005/,proposed_valid,,
101,LS200506_2,Serenity,Serenity (Aug 2005) DVD02,Nonduality Intensive,lecture,2005,06,DVD,DVD02,true,https://veritaspub.com/product/2005-08-serenity-august-2005/,https://veritaspub.com/product/2005-08-serenity-august-2005/,proposed_valid,,
102,LS200506_3,Serenity,Serenity (Aug 2005) DVD03,Nonduality Intensive,lecture,2005,06,DVD,DVD03,true,https://veritaspub.com/product/2005-08-serenity-august-2005/,https://veritaspub.com/product/2005-08-serenity-august-2005/,proposed_valid,,
